,WIN1!_open,WIN1!_high,WIN1!_low,WIN1!_close,WIN1!_target(%),WIN1!_target($),WIN1!_target(bi),f9,f1,f2,f3,f4,f5,f6,f7,f8,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,last_update
2005-05-02,25010.0,25010.0,24600.0,24984.0,-4.022526146418848e-05,-1.0,0,0.0032123353678124023,0.3232,1.010252563140785,,0.0032123353678124023,-0.007973063117435841,-0.011927737526497229,-0.023934772714398256,,,,-0.004753562470085159,8.399374840606377e-05,-0.0023555285976677052,,,,0.0077695046940757795,-0.035967855192322706,-0.0021798365122616126,0.020446392985253192,-0.011231527093596094,-0.018678938819707613,0.03407182276253695,-0.013570019723865845,1.0166666666666666,,0.0003567367837922632,,0.018887476903818128,2025-06-23 21:45:06.610580
2005-05-03,24860.0,25150.0,24730.0,24859.0,0.023730158730158823,598.0,1,-0.005003202049311595,0.3229,1.0044170710464104,0.04716155565662325,-0.005003202049311595,-0.006379253835146592,-0.01629937991919561,-0.025316902374856398,,,,-0.006433810738401546,-0.0004163264565250957,-0.003400970283086097,,,,0.0032123353678124023,0.0077695046940757795,-0.035967855192322706,0.0033980392922703384,0.020446392985253192,-0.011231527093596094,-0.018678938819707613,0.0,1.0169834209462192,,0.00033840421718345156,,0.018395766284214733,2025-06-23 21:45:06.610580
2005-05-04,25200.0,25800.0,25130.0,25798.0,-0.0020233463035019827,-52.0,0,0.03777303994529135,0.3162,0.9827811276185738,0.03881518587207927,0.03777303994529135,0.02980272559617414,0.021100419950207616,0.011819199777225675,,,,0.0015567645531090468,-4.620473824965554e-05,-0.0001283194844131863,,,,-0.005003202049311595,0.0032123353678124023,0.0077695046940757795,-0.0021798365122616126,0.0033980392922703384,0.020446392985253192,-0.011231527093596094,0.03407182276253695,1.0266613609231994,,0.0003853318031474398,,0.019629870176530454,2025-06-23 21:45:06.610580
2005-05-05,25700.0,26000.0,25470.0,25648.0,0.00027027027027037853,7.0,1,-0.005814404217381219,0.311,0.9746161078031965,0.030560185288174706,-0.005814404217381219,0.01622118501026204,0.014067578146622184,0.005839421783514043,,,,0.007587454748097344,0.0012402487219829838,0.0002743614372729353,,,,0.03777303994529135,-0.005003202049311595,0.0032123353678124023,-0.035967855192322706,-0.0021798365122616126,0.0033980392922703384,0.020446392985253192,-0.018678938819707613,1.0208087946603848,,0.0003769270177783834,,0.019414608360159714,2025-06-23 21:45:06.610580
2005-05-06,25900.0,26140.0,25750.0,25907.0,-0.0024058983313930415,-62.0,0,0.01009825327510927,0.2991,0.951093869244467,0.02458164314727447,0.01009825327510927,0.018388943048523565,0.021009777763765003,0.016666470452039395,,,,0.008053204464304043,0.0033732267588535204,-0.0004785875341917267,,,,-0.005814404217381219,0.03777303994529135,-0.005003202049311595,0.0077695046940757795,-0.035967855192322706,-0.0021798365122616126,0.0033980392922703384,-0.011231527093596094,1.0151456310679612,,0.0003488224348979819,,0.01867678866663062,2025-06-23 21:45:06.610580
2005-05-09,25770.0,25900.0,25590.0,25708.0,-0.031067961165048508,-800.0,0,-0.007681321650519157,0.2964,0.9588509316770187,0.02230732935046324,-0.007681321650519157,0.004846779237023036,0.012747986952616586,0.009917287192773294,,,,0.005874473060637731,0.0005604552952762854,-0.0008626536167176846,,,,0.01009825327510927,-0.005814404217381219,0.03777303994529135,0.0032123353678124023,0.0077695046940757795,-0.035967855192322706,-0.0021798365122616126,0.020446392985253192,1.0121141070730755,,0.0003513856031931233,,0.01874528215826914,2025-06-23 21:45:06.610580
2005-05-10,25750.0,25750.0,24870.0,24950.0,-0.0032734530938123285,-82.0,0,-0.029484985218608983,0.2992,0.9829817990669559,0.0253811702679427,-0.029484985218608983,-0.02547437329604485,-0.014239206018079598,-0.018058668534782107,,,,0.0009781164267782527,-0.002727847155811647,-0.0016529109559928368,,,,-0.007681321650519157,0.01009825327510927,-0.005814404217381219,-0.005003202049311595,0.0032123353678124023,0.0077695046940757795,-0.035967855192322706,0.0033980392922703384,1.035383996783273,,0.00038519968248078686,,0.0196265045915157,2025-06-23 21:45:06.610580
2005-05-11,25050.0,25070.0,24550.0,24968.0,-0.03505564387917326,-882.0,0,0.0007214428857715838,0.2993,0.9943521594684386,0.029347850647605637,0.0007214428857715838,-0.018406837499312045,-0.010925454963198855,-0.015575808114560274,,,,-0.006432202985125701,-0.002437719216008327,-0.0016168388117042576,,,,-0.029484985218608983,-0.007681321650519157,0.01009825327510927,0.03777303994529135,-0.005003202049311595,0.0032123353678124023,0.0077695046940757795,-0.0021798365122616126,1.0211812627291241,,0.00038535123077265996,,0.01963036501883396,2025-06-23 21:45:06.610580
2005-05-12,25160.0,25200.0,24230.0,24278.0,-0.007160493827160441,-174.0,0,-0.027635373277795527,0.3093,1.0287367790860107,0.03291734261032562,-0.027635373277795527,-0.0351400116047087,-0.036602593609625256,-0.03911914637621505,,,,-0.010796396797208563,-0.0016044710245556094,-0.0036302718242263885,,,,0.0007214428857715838,-0.029484985218608983,-0.007681321650519157,-0.005814404217381219,0.03777303994529135,-0.005003202049311595,0.0032123353678124023,-0.035967855192322706,1.040033016921172,,0.00040602595713976866,,0.020150085784923315,2025-06-23 21:45:06.610580
2005-05-13,24300.0,24300.0,24126.0,24126.0,0.02533333333333343,608.0,1,-0.006260812258011339,0.3094,1.0220665961945032,0.03466689396441473,-0.006260812258011339,-0.02741272272837214,-0.039669460963435266,-0.042816561661879304,,,,-0.014068209903832684,-0.003007502719764321,-0.002300872240263041,,,,-0.027635373277795527,0.0007214428857715838,-0.029484985218608983,0.01009825327510927,-0.005814404217381219,0.03777303994529135,-0.005003202049311595,0.0077695046940757795,1.0072121362845063,,0.0003595970655111105,,0.018963044732086418,2025-06-23 21:45:06.610580
